datim_uid,period,partner,snu,psnu,sitename,latitude,longitude,indicator,value,pais
YBG39jGSV17,2021-03-20,ECHO,Sofala,Chibabava,Mutindire CS,-20.32737,33.88577,TPT Ineligible,10,Mocambique
nYIBsKHueFr,2021-03-20,ECHO,Sofala,Chibabava,Hoode PS,-20.53808,33.60827,TPT Completed,344,Mocambique
nYIBsKHueFr,2021-03-20,ECHO,Sofala,Chibabava,Hoode PS,-20.53808,33.60827,TPT Not Comp,164,Mocambique
nYIBsKHueFr,2021-03-20,ECHO,Sofala,Chibabava,Hoode PS,-20.53808,33.60827,Recent Active TB TX,5,Mocambique
nYIBsKHueFr,2021-03-20,ECHO,Sofala,Chibabava,Hoode PS,-20.53808,33.60827,Recent Pos TB Screen,0,Mocambique
nYIBsKHueFr,2021-03-20,ECHO,Sofala,Chibabava,Hoode PS,-20.53808,33.60827,Actively on TPT,119,Mocambique
nYIBsKHueFr,2021-03-20,ECHO,Sofala,Chibabava,Hoode PS,-20.53808,33.60827,TX_CURR,508,Mocambique
nYIBsKHueFr,2021-03-20,ECHO,Sofala,Chibabava,Hoode PS,-20.53808,33.60827,TPT Candidates,40,Mocambique
nYIBsKHueFr,2021-03-20,ECHO,Sofala,Chibabava,Hoode PS,-20.53808,33.60827,TPT Ineligible,5,Mocambique
TWJPFfCeHES,2021-03-20,ECHO,Sofala,Chibabava,Muxungue CS III,-20.39088,33.93564,TPT Completed,1712,Mocambique
TWJPFfCeHES,2021-03-20,ECHO,Sofala,Chibabava,Muxungue CS III,-20.39088,33.93564,TPT Not Comp,1261,Mocambique
TWJPFfCeHES,2021-03-20,ECHO,Sofala,Chibabava,Muxungue CS III,-20.39088,33.93564,Recent Active TB TX,39,Mocambique
TWJPFfCeHES,2021-03-20,ECHO,Sofala,Chibabava,Muxungue CS III,-20.39088,33.93564,Recent Pos TB Screen,2,Mocambique
TWJPFfCeHES,2021-03-20,ECHO,Sofala,Chibabava,Muxungue CS III,-20.39088,33.93564,Actively on TPT,382,Mocambique
TWJPFfCeHES,2021-03-20,ECHO,Sofala,Chibabava,Muxungue CS III,-20.39088,33.93564,TX_CURR,2973,Mocambique
TWJPFfCeHES,2021-03-20,ECHO,Sofala,Chibabava,Muxungue CS III,-20.39088,33.93564,TPT Candidates,838,Mocambique
TWJPFfCeHES,2021-03-20,ECHO,Sofala,Chibabava,Muxungue CS III,-20.39088,33.93564,TPT Ineligible,41,Mocambique
uUmAJIXkmsO,2021-03-20,ECHO,Sofala,Dondo,Dondo Sede CS I,-19.61487,34.74003,TPT Completed,1520,Mocambique
uUmAJIXkmsO,2021-03-20,ECHO,Sofala,Dondo,Dondo Sede CS I,-19.61487,34.74003,TPT Not Comp,4845,Mocambique
uUmAJIXkmsO,2021-03-20,ECHO,Sofala,Dondo,Dondo Sede CS I,-19.61487,34.74003,Recent Active TB TX,246,Mocambique
uUmAJIXkmsO,2021-03-20,ECHO,Sofala,Dondo,Dondo Sede CS I,-19.61487,34.74003,Recent Pos TB Screen,10,Mocambique
